channel_id,train_length,test_length,min,max,mean,std,anomaly_intervals,anomaly_points,class
E-7,2769,8310,-1.0,1.0,-0.025219414360208588,0.2244424384139256,1,281,[point]
E-8,2880,8532,-0.9999999999999998,1.0000000000000004,0.0011164943826997926,0.14603397740059054,1,623,[point]
E-9,2880,8302,-1.0,1.0,0.0033925813997792414,0.13817190408897106,1,351,[point]
F-1,2869,8584,-1.0,1.0,-0.006045572381092701,0.08315549183461979,1,101,[point]
F-2,2861,8626,-1.0,1.0,-0.019609758985010235,0.10814938124029497,1,2957,[point]
F-3,2880,8376,-1.0,1.0,0.014110438404526547,0.16717287440328926,1,41,[contextual]
F-4,2244,3422,-1.0,1.4654727517812436,-0.0040563003007659726,0.09943149041715066,1,71,[point]
F-5,2598,3922,-1.076885608303046,6.954363220802578,0.0006401355058175745,0.15767347485341432,1,151,[point]
F-7,2511,5054,-0.9999999999999998,1.0,-0.008338515461586295,0.12290657361565728,3,423,"[contextual, contextual, contextual]"
F-8,3342,2487,-1.0,1.3043478260869565,-0.012851968576518847,0.13908586767955458,1,537,[contextual]
G-1,2820,8469,-1.0,1.0,0.023788348272481132,0.17359309193037956,1,121,[contextual]
G-2,2478,7361,-1.0,1.0,-0.015476158130688766,0.2535221140457972,1,41,[point]
G-3,2624,7907,-1.0,1.0,0.06460908056152777,0.24585290474945945,1,51,[point]
G-4,2551,7632,-1.0,1.0,0.03979675052410902,0.19502499595191558,1,31,[point]
G-6,2881,8640,-0.9999999999999999,1.0000000000000002,0.00909098791312957,0.1648591736452905,1,101,[point]
G-7,2446,8029,-1.0,1.0,0.04055000622742558,0.1979502294346473,3,268,"[contextual, point, contextual]"
M-1,2209,2277,-1.0764755758631972,2.268853926232979,0.01577105153950313,0.15126176907052466,1,1141,[contextual]
M-2,2208,2277,-1.0846891794252387,1.3352759069885178,0.0034949624828574722,0.138686322790309,1,1141,[contextual]
M-3,2037,2127,-1.4241973964125723,1.000070758018348,0.013683967486292498,0.13545266149117707,1,251,[contextual]
M-4,2076,2038,-1.3314414256628067,1.1758926812181187,0.014655165353829984,0.13325527654076488,1,251,[contextual]
M-5,2032,2303,-1.3089860212660558,1.0951874959614576,-0.0038779988961625904,0.13222445981736927,1,301,[contextual]
M-6,1565,2049,-1.0,258.1081081081054,0.2261497488437436,5.313165470019216,1,181,[point]
M-7,1587,2156,-0.9999999999999999,1.0,-0.009462962430837453,0.16071482538960236,1,101,[point]
P-1,2872,8505,-1.0,1.0000000000000004,0.0043505535062381,0.18430633012725178,3,751,"[contextual, contextual, contextual]"
P-10,4308,6100,-1.0,1.0,0.012845656136426232,0.13271569939030278,1,131,[point]
P-11,3969,3535,-1.0,1.0,0.01606687697085086,0.11579921933531137,2,228,"[point, point]"
P-14,2880,6100,-1.0,1.0,0.012845656136426232,0.13271569939030278,1,181,[point]
P-15,3682,2856,-1.0000000000000002,1.0,0.00019200894798980145,0.1309510673777604,1,21,[point]
P-2,2821,8209,-1.0,1.0,-0.019323555245099232,0.21364071071896062,1,1226,[point]
P-3,2855,8493,-1.0,1.0,0.009131150759516841,0.12073676612054093,1,1336,[point]
P-4,2609,7783,-1.0,1.0,-0.03707053835282025,0.20347249111723922,3,443,"[point, point, point]"
P-7,2853,8071,-1.0,1.0,0.0026174677078246323,0.05745637031868898,1,1651,[contextual]
R-1,2874,7244,-1.0,1.0,0.04096631695196024,0.19824006015349144,1,81,[point]
S-1,2818,7331,-1.0,1.0,0.008187576202098559,0.15456222356661578,1,448,[point]
S-2,926,1827,-1.0,1.0,-0.004727073692590934,0.17763588331418922,1,11,[point]
T-1,2875,8612,-1.0,1.0,0.020554483585080628,0.15249461789549087,2,1536,"[point, contextual]"
T-10,425,670,-1.0,1.0,0.0064063372974698714,0.09640515854177681,0,0,Unknown
T-12,1145,2430,-1.0,1.0,-0.00024184618217187133,0.06730614112230088,1,121,[contextual]
T-13,1145,2430,-1.0,1.0,0.0022331936966453335,0.09296816334713966,2,252,"[contextual, contextual]"
T-2,2855,8625,-1.0,1.0,0.02029655143543603,0.15218870171295779,1,1785,[point]
T-3,2876,8579,-1.0,1.0,0.03977371906283181,0.19350087925290177,2,184,"[point, point]"
T-4,2272,2217,-1.0,1.0,-0.005748964612293435,0.12334008716135254,1,69,[point]
T-5,2272,2218,-1.0,1.0,-0.013399224760811776,0.15066814833093262,1,26,[point]
T-8,748,1519,-1.0,1.0196078431372548,-0.00745482943910702,0.16805587532658847,2,102,"[contextual, contextual]"
T-9,439,1096,-1.0,1.0,0.021351874167390348,0.1339051143876484,2,112,"[point, point]"
